,V1,V2
1,USGS SE Carpenter,SECarp
2,Laramie County No. 1,lcno1
3,USGS SW Carpenter,SWCarp
4,Elmer Glantz,glantz
5,Laramie County No. 9,lcno9
6,Laramie County No. 8,lcno8
7,Cheyenne Ogallala,chogall
8,Laramie County No. 10,lcno10
9,Bell #14,bell14
10,Laramie County No. 13,lcno13
11,CC Gross,ccgross
12,Laramie County No. 2,lcno2
13,King #3,king3
14,Laramie County No. 4,lcno4
15,USGS SW Albin,SWAlbin
16,Laramie County No. 5,lcno5
17,Laramie County #3,lcno3
18,USGS South Albin,AlbinSo
19,MX NORTH b-1,mxnorth
