"","date","sim_wle","well","scenario"
"1",1994-05-01,1572.711246,"SWAlbin","baseline"
"2",1994-10-01,1572.63047,"SWAlbin","baseline"
"3",1995-05-01,1572.568701,"SWAlbin","baseline"
"4",1995-10-01,1572.521458,"SWAlbin","baseline"
"5",1996-05-01,1572.449288,"SWAlbin","baseline"
"6",1996-10-01,1572.382535,"SWAlbin","baseline"
"7",1997-05-01,1572.30196,"SWAlbin","baseline"
"8",1997-10-01,1572.238016,"SWAlbin","baseline"
"9",1998-05-01,1572.151634,"SWAlbin","baseline"
"10",1998-10-01,1572.059929,"SWAlbin","baseline"
"11",1999-05-01,1571.96763,"SWAlbin","baseline"
"12",1999-10-01,1571.890669,"SWAlbin","baseline"
"13",2000-05-01,1571.792763,"SWAlbin","baseline"
"14",2000-10-01,1571.677477,"SWAlbin","baseline"
"15",2001-05-01,1571.567294,"SWAlbin","baseline"
"16",2001-10-01,1571.470369,"SWAlbin","baseline"
"17",2002-05-01,1571.355937,"SWAlbin","baseline"
"18",2002-10-01,1571.237046,"SWAlbin","baseline"
"19",2003-05-01,1571.120499,"SWAlbin","baseline"
"20",2003-10-01,1571.009612,"SWAlbin","baseline"
"21",2004-05-01,1570.885985,"SWAlbin","baseline"
"22",2004-10-01,1570.776017,"SWAlbin","baseline"
"23",2005-05-01,1570.651693,"SWAlbin","baseline"
"24",2005-10-01,1570.538852,"SWAlbin","baseline"
"25",2006-05-01,1570.413192,"SWAlbin","baseline"
"26",2006-10-01,1570.279567,"SWAlbin","baseline"
"27",2007-05-01,1570.145882,"SWAlbin","baseline"
"28",2007-10-01,1570.030716,"SWAlbin","baseline"
"29",2008-05-01,1569.896228,"SWAlbin","baseline"
"30",2008-10-01,1569.78591,"SWAlbin","baseline"
"31",2009-05-01,1569.656256,"SWAlbin","baseline"
"32",2009-10-01,1569.559412,"SWAlbin","baseline"
"33",2010-05-01,1569.440037,"SWAlbin","baseline"
"34",2010-10-01,1569.329871,"SWAlbin","baseline"
"35",2011-05-01,1569.20625,"SWAlbin","baseline"
"36",2011-10-01,1569.094435,"SWAlbin","baseline"
"37",2012-04-30,1568.967318,"SWAlbin","baseline"
"38",2012-09-30,1568.853678,"SWAlbin","baseline"
"39",2013-05-01,1568.723551,"SWAlbin","baseline"
"40",2013-10-01,1568.608387,"SWAlbin","baseline"
"41",2014-05-01,1568.47695,"SWAlbin","baseline"
"42",2014-10-01,1568.360403,"SWAlbin","baseline"
"43",2015-05-01,1568.227165,"SWAlbin","baseline"
"44",2015-10-01,1568.109593,"SWAlbin","baseline"
"45",2016-04-30,1567.974955,"SWAlbin","baseline"
"46",2016-09-30,1567.856363,"SWAlbin","baseline"
"47",2017-05-01,1567.71985,"SWAlbin","baseline"
"48",2017-10-01,1567.600361,"SWAlbin","baseline"
"49",2018-05-01,1567.463418,"SWAlbin","baseline"
"50",2018-10-01,1567.343271,"SWAlbin","baseline"
"51",2019-05-01,1567.205329,"SWAlbin","baseline"
"52",2019-10-01,1567.084553,"SWAlbin","baseline"
"53",2020-04-30,1566.94568,"SWAlbin","baseline"
